(Time, ID): (11.050000000000, 9acu1) | (M, Li): (0.1147752349E+01, -0.637541791051626E+01) | Ra/Lat: (131.19406036, 41.55244624) F
(Time, ID): (11.050000000000, 14acu1) | (M, Li): (0.1788946683E+01, -0.495177498832345E+01) | Ra/Lat: (131.19406036, 41.55244624) F
(Time, ID): (11.050000000000, 15acu1) | (M, Li): (0.1174753989E+01, -0.520844047889113E+01) | Ra/Lat: (131.19406036, 41.55244624) F
(Time, ID): (11.050000000000, 18acu1) | (M, Li): (0.1011098864E+01, -0.522448225691915E+01) | Ra/Lat: (131.19406036, 41.55244624) F
(Time, ID): (11.050000000000, 21acu1) | (M, Li): (0.1593294060E+01, -0.304030857980251E+00) | Ra/Lat: (131.19406036, 41.55244624) F
(Time, ID): (11.050000000000, 26acu1) | (M, Li): (0.2322091876E+01, -0.507506552338600E+01) | Ra/Lat: (131.19406036, 41.55244624) F
(Time, ID): (11.050000000000, 1ade1) | (M, Li): (0.1108172196E+01, -0.137870335802436E+02) | Ra/Lat: (340.72835760, -34.54902480) F
(Time, ID): (11.050000000000, 2ade1) | (M, Li): (0.1261187792E+01, -0.165691463202238E+02) | Ra/Lat: (340.72835760, -34.54902480) F
(Time, ID): (11.050000000000, 4ade1) | (M, Li): (0.1930369158E+01, -0.116202695518732E+02) | Ra/Lat: (340.72835760, -34.54902480) F
(Time, ID): (11.050000000000, 13ade1) | (M, Li): (0.1259097155E+01, -0.959374699741602E+01) | Ra/Lat: (340.72835760, -34.54902480) F
(Time, ID): (11.050000000000, 16ade1) | (M, Li): (0.1574688948E+01, -0.147916442193091E+02) | Ra/Lat: (340.72835760, -34.54902480) F
(Time, ID): (11.050000000000, 20ade1) | (M, Li): (0.1165652766E+01, -0.134420389011502E+02) | Ra/Lat: (340.72835760, -34.54902480) F
(Time, ID): (11.050000000000, 27ade1) | (M, Li): (0.1624121567E+01, -0.109727925434709E+02) | Ra/Lat: (340.72835760, -34.54902480) F
(Time, ID): (11.050000000000, 7aira) | (M, Li): (0.2282039489E+01, 0.127360586822033E+01) | Ra/Lat: (332.48823162, 31.59146542) F
(Time, ID): (11.050000000000, 8aira) | (M, Li): (0.1442355721E+01, -0.276647108048201E+01) | Ra/Lat: (332.48823162, 31.59146542) F
(Time, ID): (11.050000000000, 11aira) | (M, Li): (0.1021544178E+01, -0.345371425338089E+02) | Ra/Lat: (332.48823162, 31.59146542) F
(Time, ID): (11.050000000000, 20aira) | (M, Li): (0.1609441080E+01, -0.284941725656390E+02) | Ra/Lat: (332.48823162, 31.59146542) F
(Time, ID): (11.050000000000, 27aira) | (M, Li): (0.1633225165E+01, -0.339091620966792E+01) | Ra/Lat: (332.48823162, 31.59146542) F
(Time, ID): (11.050000000000, 28aira) | (M, Li): (0.1511544442E+01, 0.220635125413537E+01) | Ra/Lat: (332.48823162, 31.59146542) F
(Time, ID): (11.050000000000, 1alic) | (M, Li): (0.1283240067E+01, -0.399994260445237E+02) | Ra/Lat: (335.96652828, -23.52894787) F
(Time, ID): (11.050000000000, 2alic) | (M, Li): (0.1355054385E+01, -0.393938546478748E+02) | Ra/Lat: (335.96652828, -23.52894787) F
(Time, ID): (11.050000000000, 4alic) | (M, Li): (0.1947129095E+01, -0.105854858905077E+02) | Ra/Lat: (335.96652828, -23.52894787) F
(Time, ID): (11.050000000000, 8alic) | (M, Li): (0.2291279635E+01, -0.193149573020637E+02) | Ra/Lat: (335.96652828, -23.52894787) F
(Time, ID): (11.050000000000, 11alic) | (M, Li): (0.2442880187E+01, -0.851542265713215E+01) | Ra/Lat: (335.96652828, -23.52894787) F
(Time, ID): (11.050000000000, 13alic) | (M, Li): (0.1396111400E+01, -0.234469736777246E+02) | Ra/Lat: (335.96652828, -23.52894787) F
(Time, ID): (11.050000000000, 16alic) | (M, Li): (0.1923713389E+01, -0.170427952185273E+02) | Ra/Lat: (335.96652828, -23.52894787) F
(Time, ID): (11.050000000000, 20alic) | (M, Li): (0.1097876393E+01, -0.277928229421377E+02) | Ra/Lat: (335.96652828, -23.52894787) F
(Time, ID): (11.050000000000, 27alic) | (M, Li): (0.1377182728E+01, -0.319740996025503E+02) | Ra/Lat: (335.96652828, -23.52894787) F
(Time, ID): (11.050000000000, 6areq) | (M, Li): (0.1333483961E+01, -0.380683656781912E+01) | Ra/Lat: (130.58822094, -16.36124146) F
(Time, ID): (11.050000000000, 17areq) | (M, Li): (0.1488227059E+01, -0.994646156579256E+01) | Ra/Lat: (130.58822094, -16.36124146) T
(Time, ID): (11.050000000000, 21areq) | (M, Li): (0.1046559402E+01, -0.318171677365899E+01) | Ra/Lat: (130.58822094, -16.36124146) F
(Time, ID): (11.050000000000, 25areq) | (M, Li): (0.1743429078E+01, -0.677834063768387E+01) | Ra/Lat: (130.58822094, -16.36124146) F
(Time, ID): (11.050000000000, 30areq) | (M, Li): (0.1156314189E+01, -0.322389425337315E+01) | Ra/Lat: (130.58822094, -16.36124146) F
(Time, ID): (11.050000000000, 10asc1) | (M, Li): (0.1149252156E+01, -0.104735369905829E+02) | Ra/Lat: (187.66893979, -7.89866040) T
