source,class,distance(kpc),l(deg),b(deg),period(s),pdot(1e-11s/s),pdot_start,pdot_end,Bp(e14G),Edot(e33erg/s),tau_c(kyr),tau_real(kyr),num_outbursts,NH(e22cm-2),quiescence_ob_date(MJD),satellite_qui,obsID_qui,abs_flux_qui(e-12erg/s/cm-2),abs_flux_qui_limit(e-12erg/s/cm-2),unabs_flux_qui(e-12erg/s/cm-2),unabs_flux_qui_limit(e-12erg/s/cm-2),luminosity_X_qui(e33erg/s),luminosity_X_qui_limit(e33erg/s),luminosity_bol_qui(e33erg/s),luminosity_bol_qui_limit(e33erg/s),peak1_obs_date(MJD),satellite_peak1,obsID_peak1,abs_flux_peak1(e-12erg/s/cm-2),unabs_flux_peak1(e-12erg/s/cm-2),luminosity_X_peak1(e33erg/s),peak2_obs_date(MJD),satellite_peak2,obsID_peak2,abs_flux_peak2(e-12erg/s/cm-2),unabs_flux_peak2(e-12erg/s/cm-2),luminosity_X_peak2(e33erg/s),Out1_energy(e40erg),Out2_energy(e40erg),Out1_num_exp,Out2_num_exp,Out1_tau1_tot(days),Out1_tau2_tot(days),Out1_tau3_tot(days),Out2_tau1_tot(days),Out2_tau2_tot(days),Out2_tau3_tot(days)
SGR1627-41,magnetar,11,336.98,-0.11,2.59,1.9,54620,54736,4.5,43,2,5,2,10,57071,XMM-Newton-EPN,0742650101,0.042,,0.08,,1.2,,1.2,,51032,BeppoSAX-MECS,70566001,2.4,3.6,52,54614,Swift-XRT,00312579001,12,22,320,180,120,2,3,234,1307,,0.56,31,508
1E2259+586,magnetar,3.2,109.09,-1.00,6.98,0.048,54194,54852,1.2,0.13,230,10,2,0.4,56965,Swift-XRT,00032035087,35.5,,47.4,,58,,61,,52446,XMM-Newton-EPN,0155350301,58.7,100.6,123,56045,Swift-XRT,00032035021,57,75,92,14,34,1,1,21,,,206,,
XTEJ1810-197,magnetar,3.5,10.73,-0.16,5.54,0.283,55079,56071,2.6,0.67,31,,1,1.2,49080,ROSAT-PSPC,RP900399N00,0.53,,17,,25,,32,,52890,XMM-Newton-EPN,0161360301,38.4,119,174,,,,,,,440,,1,,328,,,,,
SGR1806-20,magnetar,8.7,10.00,-0.24,7.55,76.95,53560,55643,49,70,0.2,0.8,1,8.5,55643,XMM-Newton-EPN,0654230401,5.49,,9.0,,82,,140,,53284,XMM-Newton-EPN,0164561101,26.8,40,362,,,,,,,1700,,1,,349,,,,,
CXOUJ1647-4552,magnetar,4,339.55,-0.43,10.61,0.097,54000,55067,2.1,0.032,173,,2,2.5,55067,XMM-Newton-EPN,0604380101,0.8,,1.72,,3.3,,3.5,,53999,Swift-XRT,00030806001,33.6,61,120,55829,Swift-XRT,00030806020,6.5,11,21,130,5.5,3,1,2.4,53,238,47,,
SGR0501+4516,magnetar,1.5,161.55,+1.95,5.76,0.594,54701,55248,3.7,1.2,15,10,1,1.3,55172,Swift-XRT,0032117465,2.5,,4.4,,1.2,,1.3,,54701,XMM-Newton-EPN,0560191501,40.3,128,34,,,,,,,9.3,,2,,13,147,,,,
1E1547-5408,magnetar,4.5,327.24,-0.13,2.07,4.77,54743,55191,6.4,210,0.69,,2,4.9,53917,Chandra-ACIS-I,7287,0.32,,0.9,,2.2,,2.3,,54742,Swift-XRT,00330353000,62,94,230,54854,Swift-XRT,00340923000,82,200,500,130,2300,1,3,2.0,,,3,109,2870
SGR0418+5729,magnetar,2,147.98,+5.12,9.08,0.0004,54993,56164,0.12,0.00021,36000,,1,0.6,56882,XMM-Newton-EPN,0741970201,0.0101,,0.016,,0.007,,0.008,,54993,RXTE,94048-03–01–00,33.1,34.1,16.3,,,,,,,8.3,,1,,76,,,,,
SGR1833-0832,magnetar,,23.34,+0.02,7.57,0.35,55274,55499,3.3,0.32,34,,1,15,53994,XMM-Newton-EPN,0400910101,0.06,<,0.7,<,8,<,8,<,55275,Swift-XRT,00416485000,4,8.5,102,,,,,,,110,,1,,128,,,,,
SwiftJ1822.3-1606,magnetar,1.6,15.35,-1.02,8.44,0.013,55757,56239,0.68,0.0084,1030,,1,0.7,56724,XMM-Newton-EPN,0722520101,0.23,,0.65,,0.2,,0.3,,55758,Swift-XRT,00032033001,235,261,80,,,,,,,30,,3,,7,28,460,,,
SwiftJ1834.9-0846,magnetar,4.2,23.25,-0.34,2.48,0.806,55782,55878,2.9,21,5,,1,15,54988,Chandra-ACIS-S,10126,0.01,<,0.1,<,0.2,<,0.2,<,55780,Swift-XRT,00458907000,32,48,100,,,,,,,15,,2,,0.08,17.7,,,,
1E1048.1-5937,magnetar,9,288.26,-0.52,6.46,2.18,52000,56500,7.6,3.2,4.7,,2,0.6,55779,XMM-Newton-EPN,0654870101,5.56,,8.9,,86,,89,,55926,Swift-XRT,00031220066,46,59,570,55926,Swift-XRT,00032923249,32,38,370,830,350,2,2,39,382,,42,264,
SGR1745-2900,magnetar,8.3,359.94,-0.05,3.76,3.06,56424,57589,6.9,22,1.9,,1,19,51442,Chandra,,0.02,<,1.5,<,10,<,10,<,56411,Chandra-ACIS-I,14701,18,83,680,,,,,,,1000,,2,,81,324,,,,
SGR1935+2154,magnetar,,57.25,+0.82,3.24,1.43,56853,56976,4.4,16,3.6,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1E1841-045,magnetar,8.5,27.39,-0.01,11.79,4.09,55615,55903,13.8,0.99,4.60,0.7,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,
SGR1900+14,magnetar,12.5,43.02,+0.77,5.20,9.2,53634,53826,14.0,26,0.90,5.6,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,
4U0142+614,magnetar,3.6,129.38,-0.43,8.69,0.2,51610,53800,2.7,0.13,69.00,,,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,
1RXSJ170849.0-4009,magnetar,3.8,346.48,+0.04,11.01,1.95,54836,55516,9.3,0.58,9.10,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
CXOUJ010043.1-721,magnetar,62.4,301.93,-44.92,8.02,1.88,52044,53033,7.9,1.4,6.80,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,
CXOUJ171405.7-3810,magnetar,13.2,348.68,+0.37,3.83,6.4,54856,55272,10.0,45,0.95,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,
SGR0526-66,magnetar,49.7,276.09,-33.25,8.05,3.8,52152,54414,11.0,2.9,3.40,5.0,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,,,,
CXOUJ185238.6+0040,cco,7.1,33.667347,0.038728,0.105,0.00000087,53296,55041,0.00061,0.32,190000,6.3,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
1E1207.4-5209,cco,2.1,296.545164,9.916088,0.424,0.0000022,51549,56262,0.00196,0.012,302000,7,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
RXJ0822.0-4300,cco,2.2,260.572541,-3.495317,0.112,0.00000093,55182,56027,0.00058,0.19,254000,3.5,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
